Bust,Waist,Hips,US size,UK size,EU size,International
"74 cm (29"")","58 cm (23"")","80 cm (31.5"")",00,2,30,XXS
"74-77 cm (29""-30"")","58-61 cm (23""-24"")","80-84 cm (31.5""-33"")",0,4,32,XS
"78-81 cm (31""-32"")","62-64 cm (24""-25"")","85-89 cm (33""-35"")",2,6,34,XS
"82-85 cm (32""-33.5"")","65-68 cm (25""-26.5"")","90-94 cm (35""-37"")",4,8,36,S
"86-89 cm (33.5""-35"")","69-72 cm (26.5""-28"")","95-97 cm (37""-38"")",6,10,38,S
"90-93 cm (35""-36.5"")","73-77 cm (28""-30"")","98-101 cm (38""-40"")",8,12,40,M
"94-97 cm (36.5""-38"")","78-81 cm (30""-32"")","102-104 cm (40""-41"")",10,14,42,M
"98-102 cm (38""-40"")","82-85 cm (32""-33.5"")","105-108 cm (41""-42.5"")",12,16,44,L
"103-107 cm (40""-42"")","86-90 cm (33.5""-35.5"")","109-112 cm (42.5""-44"")",14,18,46,L
"108-113 cm (42""-44.5"")","91085 cm (35.5""-37.5"")","113-116 cm (44""-45.5"")",16,20,48,XL
"114-119 cm (44.5""-47"")","96-102 cm (37.5""-40"")","117-121 cm (45.5""-48"")",18,22,50,XL
"120-125 cm (47""-49"")","103-108 cm (40""-42.5"")","123-128 cm (48""-50"")",20,24,52,XXL
"126-131 cm (49""-51.5"")","109-114 cm (42.5""-45"")","129-134 cm (50""-53"")",22,26,54,XXL
