,Waist (in),Length (in),US,UK,EU,Italy,Russia,Japan
0,25,32,"25/32, 0, or XXS",4,32,36,38,7
1,26,32,"26/32, 2, or XS",6,34,38,38/40,7/9
2,27,32,"27/32, 4, or XS",8,36,40,40,9
3,28,32,"28/32, 6, or S",10,38,42,42/44,9/11
4,29,32,"29/32, 8, or S",12,40,44,46,11
5,30,32,"30/32, 10, or M",14,42,46,48,11/13
6,31,32,"31/32, 12, or M",16,44,48,50,13
7,32,32,"32/32, 14, or L",18,46,50,54,13/15
8,33,32,"33/32, 16, or L",20,48,52,58,13/15
9,34,32,"34/32, 18, or XL",22,50,54,60/62,15
10,35,32,"35/32, 20, or XL",24,52,56,64,15/17
11,36,32,"36/32, 22, or XXL",26,54,58,66/68,17
12,37,32,"37/32, 24, or XXL",28,56,60,70,-
13,38,32,"38/32, 26, or XXXL",30,58,62,-,-
14,39,32,"39/32, 28, or XXXL",32,60,64,-,-
